CODE,DESC,SHORTDESC,FINE
T669,FAIL TO TURN IN DC TAGS,TAGS FAIL TURN IN DC,100.0
T670,FAIL TO SECURE DC TAGS,TAGS FAIL SECURE DC,100.0
T671,PERMIT USE OF EXPIRED TAGS,PMT USE OF DEAD TAGS,100.0
T672,FAIL TO DISPLAY CURRENT TAGS,TAGS FAIL DISP CURR,100.0
T673,LOANING TAGS,TAGS LOANING,50.0
T674,ALTERED TAGS,TAGS ALTERED,100.0
T675,TAXICAB DOME LIGHT,TAXI DOME LIGHT,100.0
T676,DIRTY TAXICAB,TAXI DIRTY,100.0
T677,FAIL TO CHANGE INFORMATION,FAIL CHANGE INFO,100.0
T678,FAIL TO REMOVE ID FROM TAXICAB,TAXI FAIL RMV ID CAB,50.0
T679,LOITERING TAXI OR LIMO,LOITERING TAXI/LIMO,50.0
T680,FAIL TO KEEP TAXICAB MANIFEST,TAXI MANFST FAIL KEP,50.0
T681,FAIL TO REPORT PROPERTY LEFT IN A TAXICAB,TAXI PROP LEFT N/RPT,25.0
T682,SOLICITING FARES FOR A TAXICAB,TAXI SOLICITNG FARES,50.0
T684,FAIL TO PULL TAXICAB TO THE CURB,TAXI NO PULL TO CURB,50.0
T686,REFUSING TO HAUL PASSENGERS IN A TAXICAB,REFUSE TO HAUL PASS,500.0
T687,UNLICENSED VEHICLE DC RESIDENT,UNLIC VEH DC RESIDNT,1000.0
T688,FAIL TO DISPLAY OFF DUTY SIGN IN A TAXICAB,TAXI N/DISP OFF DUTY,100.0
T689,IMPROPER USE OF THE OFF DUTY SIGN IN A TAXICAB,TAXI IMP USE OFFDUTY,100.0
T690,IMPROPER USE OF THE ON CALL SIGN IN A TAXICAB,TAXI IMP USE ONCALL,100.0
T691,IMPROPER USE OF AN OUT OF SERVICE SIGN IN A TAXI,TAXI IMP USE OUT SVC,100.0
T692,UNAUTHORIZED SIGNS IN A TAXICAB,TAXI UNAUTH SIGNS,100.0
T693,NOT CHARGING THE PROPER FARE IN A TAXICAB,TAXI N/CHG PROP FARE,150.0
T694,FAIL TO DISPLAY PSC LICENSE IN TAXICAB,TAXI N/DISP PSC LIC,10.0
T696,FAIL TO EXHIBIT DCTC TO HACK INSPECTOR OR POLICE,TAXI N/EXHIBIT DCTC,50.0
T697,FAIL TO HAVE PROPER INSIGNIA FOR TAXICAB,TAXI N/HAV PROP INSG,25.0
T698,FAIL TO REPORT ACCIDENT INVOLVING A TAXICAB,TAXI N/RPT ACCIDENT,100.0
T699,IMPROPER PSC LICENSE,TAXI SIGN IMP PSC LI,25.0
T700,LOADING TAXICAB PASSENGERS IN A CROSSWALK,TAXI LOAD PASS XWALK,50.0
T701,REFUSING TO PAY A TAXICAB FARE,TAXI REFUS PAY FARE,25.0
T702,UNSAFE TIRE(S),TIRES UNSAFE ETC,100.0
T703,FAIL TO TRANSFER DC TITLE,TITLE DC FAIL TRANSF,25.0
T705,VIOLATION OF THE CHILD RESTRAINT ACT,VIOL CHILD REST ACT,75.0
T706,OPERATING AN UNSAFE TAXI,OPER UNSAFE VEH TAXI,100.0
T710,TRUCK RESTRICTED ROUTE,TRUCK REST ROUTE,150.0
T711,OWNER OPERATE OR PERMIT OPERATION OF UNINSRD VEH,OPER. UNIS. VEHICLE,500.0
T712,EXPIRED PERMIT 90 DAYS,EXP. PERMIT -90 DAYS,15.0
T713,SEAT BELT REGULATION VIOLATION,SEAT BELT REGULATION,50.0
T714,HUB CAP REGULATION,HUB CAP REGULATION,25.0
T715,SEAT BELT REGULATION MULTIPLE VIOLATIONS,SEAT BELT REG MULTI,50.0
T740,FAIL TO FILE AN ACCIDENT REPORT,NOT FILE ACCIDNT RPT,100.0
T741,FAIL TO FILE OR INCOMPLETE ACCIDENT REPORT,ACCIDNT RPT INN/INCO,50.0
T742,FAIL TO DISPLAY CURRENT INSPECTION STICKER,FAIL DISP CURR INSPC,50.0
T743,OPERATING VEHICLE WITH CONDITIONAL INSPECTION,INSPECT OPER W/COND,100.0
T744,ILLEGIBLE TAGS,TAGS ILLEGIBLE,50.0
T745,NO FRONT TAGS,NO FRONT TAGS,50.0
T746,NO REAR TAGS,NO REAR TAGS,50.0
T747,OBSTRUCTED TAGS,TAGS OBSTRUCTED,50.0
T748,FAIL TO PROPERLY AFFIX REGISTRATION STICKERS,REGTR FAIL PROP AFFX,50.0
T749,DRIVING ON MEDIAN OR CHANNELIZING TRAFFIC ISLAND,MEDIAN CHANNEL IS/SZ,100.0
T750,HIGH OCCUPANCY VEHICLE VIOLATION,HOV VIOLATION,25.0
T751,OVERTAKING VEHICLE STOPPED AT XWALK FOR PEDESTRIAN,PASS VEH STOP PED,250.0
T755,FAIL TO OBEY CIVILIAN TRAFFIC OFFICER,FAIL OBEY CIVILIAN,50.0
T756,FAIL TO DISPLAY PASSENGER RIGHTS FORM IN TAXICAB,NO PASS RIGHT FORM,25.0
T758,VIOLATION OF TINTED WINDOWS REGULATIONS,TINTED WINDOWS,50.0
T759,FAIL TO YIELD RIGHT OF WAY TO PEDESTRIAN,FL TO YLD ROW TO PED,75.0
T760,NO PERMIT PAST EXPIRATION DATE PLUS 90 DAYS,NO PERMIT/EXP-90 DAY,75.0
T761,IMPROPER AIR CONDITIONING,IMPROPER AIR CONDITN,125.0
T762,IMPROPER HEATING,IMPROPER HEATING,125.0
T763,TINTED WINDOW VIOLATION FAIL TO COMPLY 1,TINT WNDW FAIL COMP1,1000.0
T764,TINTED WINDOW VIOLATION FAIL TO COMPLY 2,TINT WNDW FAIL COMP2,5000.0
T765,LITTERING FROM VEHICLE ON PRIVATE/PUBLIC PROPERTY,LITTERING FROM VEH,100.0
T766,FAIL OR REFUSE TO FOLLOW POLICE OFFICER DIRECTION,FAIL OBEY POLICE OFF,50.0
T768,LANE IMPROPER USE OF RESTRICTED,LANEIMP USE RESTRIC,100.0
T778,IMPROPER CLASS LICENSE,IMPROP CLASS LICENSE,50.0
T779,OPERATING VEHICLE LEARNER PERMIT NO LICENSE,OP VEH LRN PMT/NOLIC,50.0
T780,TURNED OFF HEADLIGHTS,TURN OFF HEADLIGHTS,25.0
T782,FAIL TO YIELD TO PEDESTRIAN ON SIDEWALK,FAIL YIELD PED SDWLK,250.0
T786,LESS THAN 18 YRS OLD PASSENGER RESTRAINT VIOL,LT18 PASSNGER RESTRT,50.0
T787,LESS THAN 18 YRS OLD MANDATORY SEAT BELT VIOL,LT18 SEAT BLT MANDRY,50.0
T788,LESS THAN 18 YRS OLD NIGHT RESTRICTION,LT18 NIGHT RESTRCTN,50.0
T789,LESS THAN 18 YRS OLD COMPNSTN RESTRT,LT18 COMPNSTN RESTRT,50.0
T790,PROVISIONAL PERMIT PASSENGER RESTRICTION,PROV PERM-PASS RESTR,50.0
T791,PROVISIONAL PERMIT NIGHT RESTRICTION,PROV PERM NIGHT REST,50.0
T792,LEARNER'S PERMIT AGE RESTRICTION,LEARN PERM AGE RESTR,50.0
T800,FAILURE TO HAVE FACE CARD WITH VEHICLE,NO FACE CARD W/ VEH,500.0
T801,DCTC POSSESS COUNTERFEIT OR ALTERED COPY,COUNTERFEIT DCTC,1000.0
T802,PROPERTY FAIL TO DEPOSIT ITEMS W/ DCTC,PROPERTY FAIL TO DE,100.0
T803,TAXI UNLAWFUL ACTIVITES,TAXI UNLAWFUL ACTS,500.0
T805,FAIL TO SHOW PROOF OF TAXICAB INSURANCE,FAIL SHOW TAXI INS,100.0
T806,RIGHT TURN ON RED FAIL YIELD PEDESTRIAN/VEHICLE,RT ON RED FAIL YLD,50.0
T807,MOTORZED BIKE OPERATING IN EXCESS OF 20 MPH,MTR BIKE SPEED > 20,100.0
T808,MOTOR DRIVEN CYCLE SPEED OPERATING >30 MPH,MTR DRIVE CYCLE >30,100.0
T809,COLLIDE WITH PERSON OPERATING A BICYCLE,COLLIDE W BICYCLIST,500.0
T810,FAILURE TO YIELD RIGHT OF WAY TO A BICYCLIST,FAIL YLD ROW BICYCL,75.0
T812,BIKE NO WARNING DEVICE,BIKE NO WARNING DEVI,25.0
T813,USE OF HANDHELD MOBILE TELEPHONE IN CMV,MOBILE PHONE IN CMV,100.0
T814,TEXTING IN COMMERICAL MOTOR VEHICLE,TEXTING IN CMV,100.0
T913,OPERATING WITHOUT SPECIAL VEHICLE FOR HIRE PERMIT,NO SPEC VEH FOR HIRE,500.0
T914,FAIL TO DISPLAY INTERNATIONAL NO SMOKING SYMBOL,FAIL DISP NO SMOKING,25.0
T915,CELL PHONE USE WHILE OPERATING VEHICLE,CELL PHONE USE TAXI,100.0
